fips,indicator,year,sex,age,count,population,rate,ci,ageAdjust,aci 
"27123","Ramsey","Emergency department visits","2015-2017","All","All ages","8566.6","1596537","53.7","(52.5 - 54.8)","55.6","(54.4 - 56.8)"
"27125","Red Lake","Emergency department visits","2015-2017","All","All ages","27.8","11883","23.4","(15.5 - 33.9)","26.4","(17.3 - 38.5)"
"27127","Redwood","Emergency department visits","2015-2017","All","All ages","105.4","45277","23.3","(18.8 - 27.7)","25.4","(20.4 - 30.5)"
"27129","Renville","Emergency department visits","2015-2017","All","All ages","97.4","43392","22.5","(18.2 - 27.4)","25.0","(20.1 - 30.6)"
"27131","Rice","Emergency department visits","2015-2017","All","All ages","630.4","193612","32.6","(30.0 - 35.1)","34.7","(31.9 - 37.5)"
"27133","Rock","Emergency department visits","2015-2017","All","All ages","54.5","28056","19.4","(14.6 - 25.3)","21.8","(16.3 - 28.6)"
"27135","Roseau","Emergency department visits","2015-2017","All","All ages","171.9","46178","37.2","(31.7 - 42.8)","41.1","(34.8 - 47.5)"
"27137","St. Louis","Emergency department visits","2015-2017","All","All ages","2105","591657","35.6","(34.1 - 37.1)","39.1","(37.4 - 40.8)"
"27139","Scott","Emergency department visits","2015-2017","All","All ages","1132.1","423703","26.7","(25.2 - 28.3)","27.1","(25.5 - 28.8)"
"27141","Sherburne","Emergency department visits","2015-2017","All","All ages","632.6","275174","23.0","(21.2 - 24.8)","23.1","(21.3 - 24.9)"
"27143","Sibley","Emergency department visits","2015-2017","All","All ages","106.6","43815","24.3","(19.7 - 28.9)","26.5","(21.4 - 31.7)"
"27145","Stearns","Emergency department visits","2015-2017","All","All ages","913.5","460312","19.8","(18.6 - 21.1)","20.6","(19.2 - 22.0)"
"27147","Steele","Emergency department visits","2015-2017","All","All ages","469.2","108333","43.3","(39.4 - 47.2)","46.9","(42.5 - 51.2)"
"27149","Stevens","Emergency department visits","2015-2017","All","All ages","47","28785","16.3","(12.0 - 21.7)","15.8","(11.3 - 21.4)"
"27151","Swift","Emergency department visits","2015-2017","All","All ages","77.6","27601","28.1","(22.2 - 35.1)","31.9","(24.9 - 40.2)"
"27153","Todd","Emergency department visits","2015-2017","All","All ages","156.2","71776","21.8","(18.3 - 25.2)","23.6","(19.8 - 27.5)"
"27155","Traverse","Emergency department visits","2015-2017","All","All ages","18","9826","18.3 (UR)","(10.9 - 29.0) (UR)","21.1 (UR)","(12.1 - 34.4) (UR)"
"27157","Wabasha","Emergency department visits","2015-2017","All","All ages","183","62994","29.1","(24.8 - 33.3)","34.1","(28.9 - 39.2)"
"27159","Wadena","Emergency department visits","2015-2017","All","All ages","147","40345","36.4","(30.5 - 42.3)","39.6","(32.9 - 46.2)"
"27161","Waseca","Emergency department visits","2015-2017","All","All ages","212.8","56094","37.9","(32.8 - 43.0)","39.7","(34.2 - 45.1)"
"27163","Washington","Emergency department visits","2015-2017","All","All ages","1532","747561","20.5","(19.5 - 21.5)","21.8","(20.7 - 22.9)"
"27165","Watonwan","Emergency department visits","2015-2017","All","All ages","107","32222","33.2","(26.9 - 39.5)","35.6","(28.6 - 42.5)"
"27167","Wilkin","Emergency department visits","2015-2017","All","All ages","61","18791","32.5","(24.8 - 41.7)","34.9","(26.4 - 45.3)"
"27169","Winona","Emergency department visits","2015-2017","All","All ages","397.8","150838","26.4","(23.8 - 29.0)","30.7","(27.4 - 33.9)"
"27171","Wright","Emergency department visits","2015-2017","All","All ages","665.8","391602","17.0","(15.7 - 18.3)","17.7","(16.2 - 19.1)"
"27173","Yellow Medicine","Emergency department visits","2015-2017","All","All ages","84.5","29165","29.0","(23.1 - 35.9)","34.3","(27.1 - 42.7)"

* To protect an individual's privacy hospitalizations and ED visit counts from 1 to 5 are suppressed if the underlying population is less than or equal to 100000.
UR = Unstable Rate. Rates based on numerators less than or equal to 20 may be unstable and should be interpreted with caution.
** Person-years is equal to the sum of the population for each year.
***Age-adjusted rates can only be calculated for "All ages combined".
Hospitalizations data do not include data from federal and sovereign hospitals (e.g. Veteran's Administration; Indian Health Service) or data on Minnesota residents seen in facilities outside of Minnesota and North Dakota. For more information see About the Asthma Data: http://health.mn.gov/mndataasthma_metadata

Source:
Minnesota Public Health Data Access
Minnesota Environmental Public Health Tracking Program
Minnesota Department of Health
P.O. Box 64882
"St. Paul, MN 55164-0882"
Phone: (651) 201-5900 or toll free: 1-800-205-4987
Fax: (651) 201-5926
E-mail: tracking.health@state.mn.us
Web: http://health.mn.gov/mndata 

